player,club,lineup_status,confirmed,captured_at,bookmaker,goal_odds,assist_odds,sot_odds
R. Gomes,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
J. Bellegarde,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
A. Devine,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
D. Burgzorg,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
C. Lang,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
T. Doyle,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
B. Potts,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
B. Traoré,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
T. Small,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
T. Carroll,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
L. Leroy,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
A. Moran,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
K. Kamara,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
L. Krejcí,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
Y. Mosquera,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
H. Bueno,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
K. Trippier,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
S. Bueno,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
P. Lima,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Abbey,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
K. Pasiek,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
K. Moore,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.75,,
S. Smith,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
J. Windass,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
B. Cadamarteri,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
D. Keillor-Dunn,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
E. Lee,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
L. Kjerrumgaard,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.8,,
N. Broadhead,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.1,,
H. Ashfield,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
O. Rathbone,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
I. Bravo,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
M. Doumbia,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
A. Moore,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
I. Louza,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
A. Nabizada,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
R. Vata,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
O. Maamma,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
E. Kayembe,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
L. O'Brien,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
R. Longman,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
K. Baah,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
J. Rees,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
G. Thomason,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
M. Payero,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
L. Cacace,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
M. James,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
S. Revan,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
B. Sheaf,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
D. Imray,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
M. Cleworth,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
B. Whiteman,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
E. Bove,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
A. James,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
J. Ngakia,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
C. Doyle,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
G. Dobson,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
H. Kyprianou,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
D. Scarr,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
C. Coady,Wrexham,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
M. Bola,Watford,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
T. Conway,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.7,,
W. Lankshear,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.8,,
M. Whittaker,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
A. Kargbo,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
D. Strelec,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.7,,
C. Ibeh,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
